Date (GMT),Open,High,Low,Last,Volume,Volume,BBandUp,BBandMid,BBandLow
12/27/2020 18:30,26799.98,27000,26600,26934.32,2408.1357,2408.1357,28040.79434,27180.83713,26320.87992
12/27/2020 19:00,26934.32,27070.01,26720.32,27064.92,1846.7059,1846.7059,28020.66466,27169.79741,26318.93016
12/27/2020 19:30,27064.08,27296.28,26987.84,27146.55,2056.5877,2056.5877,27987.13808,27167.58337,26348.02866
12/27/2020 20:00,27146.55,27209.54,27071.38,27081.66,1382.2235,1382.2235,27931.87661,27159.40019,26386.92377
12/27/2020 20:30,27081.67,27095.18,26810,26859.92,1675.5968,1675.5968,27883.5988,27130.87827,26378.15773
12/27/2020 21:00,26860.6,26935.76,26174.58,26238.86,4602.2207,4602.2207,27872.04262,27045.92415,26219.80567
12/27/2020 21:30,26238.86,26367.88,25700,26002.99,5373.7194,5373.7194,27750.13713,26946.59708,26143.05704
12/27/2020 22:00,26005.72,26512,25983.08,26400,2815.2969,2815.2969,27694.72282,26894.54022,26094.35762
12/27/2020 22:30,26401.25,26699.99,26324.97,26417.49,1836.066,1836.066,27697.12339,26849.10687,26001.09034
12/27/2020 23:00,26417.07,26595.67,26263.2,26517.44,1339.4782,1339.4782,27677.9408,26817.51954,25957.09829
12/27/2020 23:30,26517.84,26713.96,26392.3,26610.83,1539.4212,1539.4212,27649.13558,26797.83483,25946.53407
